run,DATASET_SEED,DATASET_TARGET_CAR_COUNT,DATASET_VEHICLE_SPEED_REDUCTION_PCT,DATASET_SAFE_FOLLOWING_DISTANCE_M,DATASET_VEHICLE_TRUCK_FRACTION,DATASET_VEHICLE_MOTORCYCLE_FRACTION,DATASET_VEHICLE_BICYCLE_FRACTION,DATASET_BICYCLE_SIDEWALK_FRACTION,DATASET_BICYCLE_SIDEWALK_SPEED_MPS,DATASET_PED_CROSSING_COUNT,DATASET_PED_CROSSING_FACTOR,DATASET_PED_RUNNING_FRACTION,DATASET_PED_SPAWN_RADIUS_M,DATASET_PED_CROSSING_X_MIN,DATASET_PED_CROSSING_X_MAX,DATASET_TRAFFIC_LIGHTS_GREEN_WAVE,capture_dir,minutes
1,20261628,21,28.0,2.3,0.08,0.12,0.12,0.67,1.6,0,0.72,0.30,60,-3.5,26.5,0,/scratch/tamoghnd/dataset_captures/sensor_capture_20260627_053201,17.1
2,20261629,30,36.5,4.9,0.12,0.15,0.08,0.49,1.6,5,0.77,0.29,60,22.1,52.1,1,/scratch/tamoghnd/dataset_captures/sensor_capture_20260627_054907,17.4
3,20261630,32,35.5,3.6,0.09,0.12,0.08,0.57,1.6,5,0.53,0.37,60,-13.2,16.8,1,/scratch/tamoghnd/dataset_captures/sensor_capture_20260627_060634,18.8
4,20261631,16,8.9,2.3,0.10,0.14,0.07,0.33,1.6,4,0.60,0.08,60,29.9,59.9,0,/scratch/tamoghnd/dataset_captures/sensor_capture_20260627_062520,17.9
5,20261632,25,2.6,4.6,0.05,0.10,0.10,0.51,1.6,1,0.23,0.40,60,-28.2,1.8,0,/scratch/tamoghnd/dataset_captures/sensor_capture_20260627_064316,18.1
6,20261633,20,30.4,4.1,0.10,0.10,0.06,0.60,1.6,3,0.68,0.05,60,-10.0,20.0,0,/scratch/tamoghnd/dataset_captures/sensor_capture_20260627_070123,22.9
7,20261634,36,10.2,3.0,0.14,0.13,0.09,0.52,1.6,4,0.73,0.25,60,34.5,64.5,1,FAILED,21.3
8,20261635,29,14.3,2.7,0.08,0.11,0.13,0.38,1.6,5,0.35,0.01,60,11.7,41.7,1,/scratch/tamoghnd/dataset_captures/sensor_capture_20260627_074536,17.3
9,20261636,22,3.5,3.5,0.07,0.16,0.14,0.31,1.6,2,0.45,0.19,60,4.6,34.6,0,/scratch/tamoghnd/dataset_captures/sensor_capture_20260627_080252,18.3
10,20261637,33,24.7,5.2,0.12,0.08,0.13,0.56,1.6,6,0.40,0.06,60,-24.2,5.8,1,/scratch/tamoghnd/dataset_captures/sensor_capture_20260627_082109,22.8
11,20261638,18,21.9,5.7,0.13,0.09,0.10,0.37,1.6,7,0.49,0.22,60,-2.3,27.7,1,/scratch/tamoghnd/dataset_captures/sensor_capture_20260627_084356,16.4
12,20261639,14,40.1,3.3,0.06,0.18,0.11,0.43,1.6,8,0.30,0.34,60,17.2,47.2,0,/scratch/tamoghnd/dataset_captures/sensor_capture_20260627_090022,21.9
13,20261640,13,16.3,5.1,0.14,0.15,0.10,0.65,1.6,2,0.26,0.14,60,-20.1,9.9,0,/scratch/tamoghnd/dataset_captures/sensor_capture_20260627_092218,17.1
14,20261641,23,44.8,4.2,0.07,0.17,0.07,0.68,1.6,7,0.42,0.13,60,6.7,36.7,1,/scratch/tamoghnd/dataset_captures/sensor_capture_20260627_093924,18.4
15,20261642,28,20.6,5.7,0.13,0.17,0.12,0.44,1.6,1,0.63,0.18,60,23.6,53.6,1,/scratch/tamoghnd/dataset_captures/sensor_capture_20260627_095751,22.1
